rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
162,frame_0117.jpg,46.8,0.4058,0.4267,0.375,0.4,7,3,False,False
163,frame_0321.jpg,128.4,0.4052,0.4304,0.5,0.2,6,4,False,False
164,frame_0299.jpg,119.6,0.4,0.442,0.25,0.52,5,2,False,False
165,frame_0385.jpg,154.0,0.3951,0.4852,0.375,0.2,8,3,False,False
166,frame_0010.jpg,4.0,0.3948,0.3145,0.125,1.0,2,1,False,False
167,frame_0225.jpg,90.0,0.3947,0.4573,0.5,0.08,7,4,False,False
168,frame_0009.jpg,3.6,0.3933,0.3117,0.125,1.0,2,1,False,False
169,frame_0167.jpg,66.8,0.3931,0.4712,0.125,0.6,6,1,False,False
170,frame_0088.jpg,35.2,0.3929,0.3848,0.375,0.44,6,3,False,False
171,frame_0083.jpg,33.2,0.3922,0.3785,0.25,0.64,3,2,False,False
172,frame_0082.jpg,32.8,0.3859,0.3498,0.25,0.68,4,2,False,False
173,frame_0281.jpg,112.4,0.3846,0.5183,0.125,0.44,4,1,False,False
174,frame_0309.jpg,123.6,0.3829,0.4177,0.5,0.12,5,4,False,False
175,frame_0019.jpg,7.6,0.3827,0.2904,0.125,1.0,2,1,False,False
176,frame_0176.jpg,70.4,0.3787,0.4364,0.375,0.24,7,3,False,False
177,frame_0220.jpg,88.0,0.3764,0.4907,0.25,0.28,4,2,False,False
178,frame_0300.jpg,120.0,0.3759,0.4098,0.25,0.48,6,2,False,False
179,frame_0391.jpg,156.4,0.3745,0.508,0.375,0.04,7,3,False,False
180,frame_0022.jpg,8.8,0.3711,0.2673,0.125,1.0,5,1,False,False
181,frame_0174.jpg,69.6,0.3706,0.4632,0.25,0.32,6,2,False,False
182,frame_0104.jpg,41.6,0.3693,0.4655,0.375,0.12,4,3,False,False
183,frame_0100.jpg,40.0,0.3682,0.4955,0.375,0.04,6,3,False,False
184,frame_0203.jpg,81.2,0.3624,0.3188,0.25,0.64,4,2,False,False
185,frame_0087.jpg,34.8,0.3619,0.5319,0.0,0.48,4,0,False,False
186,frame_0098.jpg,39.2,0.3588,0.4015,0.5,0.04,7,4,False,False
